,Rank,Name,Net worth,Age,Citizenship,Source,Industry
831,818,Prasert Prasarttong-Osoth,$3.5 B,90,Thailand,Hospitals,
832,818,Ira Rennert,$3.5 B,88,United States,Investments,
833,818,Dirk Rossmann & family,$3.5 B,76,Germany,Drugstores,
834,818,Arkady Rotenberg,$3.5 B,71,Russia,"Construction, pipes, banking",
835,818,Remo Ruffini,$3.5 B,61,Italy,Winter jackets,
836,818,Karin Sartorius-Herbst,$3.5 B,N/A,Germany,Biopharmaceuticals,
837,818,Vivek Chaand Sehgal,$3.5 B,66,Australia,Auto parts,
838,818,Scott Shleifer,$3.5 B,45,United States,Private equity,
839,818,Thomas Siebel,$3.5 B,70,United States,Business software,
840,818,Wim van der Leegte & family,$3.5 B,75,Netherlands,Manufacturing,
841,818,Xiao Yongming & family,$3.5 B,58,China,Fertilizer,
842,818,Michael Xie,$3.5 B,54,United States,Cybersecurity,
843,818,Yang Shaopeng,$3.5 B,65,China,Shipping,
844,818,Nicoletta Zampillo,$3.5 B,65,Italy,Eyeglasses,
845,818,Barry Zekelman,$3.5 B,56,Canada,Steel,
846,852,William Ackman,$3.4 B,56,United States,Hedge funds,
847,852,Somphote Ahunai,$3.4 B,55,Thailand,Renewable energy,
848,852,Igor Altushkin,$3.4 B,52,Russia,Metals,
849,852,Ramon Ang,$3.4 B,69,Philippines,Diversified,
850,852,Acharya Balkrishna,$3.4 B,50,India,Consumer goods,
851,852,Markus Blocher,$3.4 B,52,Switzerland,Chemicals,
852,852,Richard Branson,$3.4 B,72,United Kingdom,Virgin,
853,852,Cho Jung-ho,$3.4 B,64,South Korea,Finance,
854,852,Alessandra Garavoglia,$3.4 B,63,Italy,Spirits,
855,852,Laurence Graff & family,$3.4 B,84,United Kingdom,Diamond jewelry,
856,852,"Amos Hostetter, Jr.",$3.4 B,86,United States,Cable television,
857,852,"Robert ""Woody"" Johnson",$3.4 B,75,United States,"Johnson & Johnson, sports",
858,852,Steven Klinsky,$3.4 B,66,United States,Investments,
859,852,William Lauder,$3.4 B,62,United States,Estee Lauder,
860,852,John Middleton,$3.4 B,68,United States,Tobacco,
861,852,Hiroshi Mikitani,$3.4 B,58,Japan,Online retail,
862,852,Bob Parsons,$3.4 B,72,United States,Web hosting,
863,852,J. Joe Ricketts & family,$3.4 B,81,United States,TD Ameritrade,
864,852,Herb Simon,$3.4 B,88,United States,Real estate,
865,852,Leena Tewari,$3.4 B,65,India,Pharmaceuticals,
866,852,Stefan von Holtzbrinck,$3.4 B,59,Germany,Publishing,
867,852,Hans Peter Wild,$3.4 B,81,Switzerland,Flavorings,
868,852,Wu Guanjiang & family,$3.4 B,54,China,Pharmaceuticals,
869,852,Yi Zheng,$3.4 B,52,China,Software,
870,852,Eric Yuan & family,$3.4 B,53,United States,Zoom Video Communications,
871,852,Charles Zegar,$3.4 B,75,United States,Bloomberg LP,
872,878,Mohed Altrad,$3.3 B,75,France,"Scaffolding, cement mixers",
873,878,John Arnold,$3.3 B,49,United States,Hedge funds,
874,878,Bill Austin,$3.3 B,81,United States,Hearing aids,
875,878,Chen Shibin,$3.3 B,56,China,Quartz products,
876,878,Bennett Dorrance,$3.3 B,77,United States,Campbell Soup,
877,878,Walter Faria,$3.3 B,68,Brazil,Beer,
878,878,Walter Frey,$3.3 B,79,Switzerland,Car dealerships,
879,878,Fu Liquan & family,$3.3 B,55,China,Surveillance equipment,
880,878,John Gandel,$3.3 B,88,Australia,Shopping malls,
881,878,Peter Gilgan,$3.3 B,72,Canada,Homebuilding,
882,878,Kwek Leng Beng,$3.3 B,82,Singapore,Diversified,
883,878,Pablo Legorreta,$3.3 B,59,United States,Investments,
884,878,Arnon Milchan,$3.3 B,78,Israel,Movie making,
885,878,Akio Nitori,$3.3 B,79,Japan,Home furnishings,
886,878,Julio Ponce Lerou,$3.3 B,77,Chile,Fertilizer,
887,878,Rodger Riney & family,$3.3 B,77,United States,Discount brokerage,
888,878,Phil Ruffin,$3.3 B,88,United States,"Casinos, real estate",
889,878,Naguib Sawiris,$3.3 B,68,Egypt,Telecom,
890,878,Neil Shen,$3.3 B,55,Hong Kong,Venture capital,
891,878,Gil Shwed,$3.3 B,54,Israel,Software,
892,878,Stephen Smith,$3.3 B,71,Canada,Finance and investments,
893,878,Nik Storonsky,$3.3 B,38,United Kingdom,Fintech,
894,878,Jeffrey Talpins,$3.3 B,48,United States,Hedge fund,
895,878,Carl Thoma,$3.3 B,74,United States,Investments,
896,878,Todd Wanek,$3.3 B,59,United States,Furniture,
897,878,Xue Hua,$3.3 B,53,China,Agribusiness,
898,878,Takao Yasuda,$3.3 B,73,Japan,Retail,
899,905,Karen Virginia Beckmann Legoretta,$3.2 B,53,Mexico,Tequila,
900,905,Giuliana Benetton,$3.2 B,85,Italy,"Fashion retail, investments",
901,905,Luciano Benetton,$3.2 B,87,Italy,"Fashion retail, investments",
902,905,Arun Bharat Ram,$3.2 B,82,India,Chemicals,
903,905,Ron Burkle,$3.2 B,70,United States,"Supermarkets, investments",
904,905,Chen Kaixuan,$3.2 B,64,China,Household chemicals,
905,905,Brunello Cucinelli & family,$3.2 B,69,Italy,Fashion,
906,905,Antonio Del Valle Ruiz & family,$3.2 B,84,Mexico,Chemicals,
907,905,Gustavo Denegri & family,$3.2 B,86,Italy,Biotech,
908,905,Dong Jinggui,$3.2 B,53,China,Electric scooters,
909,905,Charles Ergen,$3.2 B,70,United States,Satellite TV,
910,905,David Filo,$3.2 B,56,United States,Yahoo,
911,905,Lindsay Fox,$3.2 B,85,Australia,"Logistics, real estate",
912,905,Sergei Galitsky,$3.2 B,55,Russia,Retail,
913,905,Senapathy Gopalakrishnan,$3.2 B,67,India,Software services,
914,905,Luciano Hang,$3.2 B,60,Brazil,Department stores,
915,905,Michael Hintze,$3.2 B,69,Australia,Investment,
916,905,Hu Baifan,$3.2 B,60,China,Pharmaceuticals,
917,905,Hamilton James & family,$3.2 B,71,United States,Investments,
918,905,Lee Boo-jin,$3.2 B,52,South Korea,Samsung,
919,905,Li Liangbin,$3.2 B,55,China,Lithium,
920,905,Liang Feng,$3.2 B,54,China,Manufacturing,
921,905,Samir Mehta,$3.2 B,59,India,"Pharmaceuticals, power",
922,905,Sudhir Mehta,$3.2 B,68,India,"Pharmaceuticals, power",
923,905,Aristotelis Mistakidis,$3.2 B,61,Greece,"Mining, commodities",
924,905,Geoffrey Palmer,$3.2 B,72,United States,Real estate,
925,905,Roger Penske,$3.2 B,86,United States,Cars,
926,905,Ravi Pillai,$3.2 B,69,India,Construction,
927,905,David Rubenstein,$3.2 B,73,United States,Private equity,
928,905,Hilton Schlosberg,$3.2 B,70,United Kingdom,Energy drinks,
929,905,Klaus-Peter Schulenberg,$3.2 B,71,Germany,Ticketing service,
930,905,Lynn Schusterman,$3.2 B,84,United States,"Oil & gas, investments",
931,905,Isabella Seràgnoli,$3.2 B,77,Italy,Packaging,
932,905,Shen Guojun,$3.2 B,60,China,Retail,
933,905,Warren Stephens,$3.2 B,66,United States,Investment banking,
934,905,Pat Stryker,$3.2 B,66,United States,Medical equipment,
935,905,Roman Trotsenko,$3.2 B,52,Russia,"Transport, engineering, real estate",
936,905,Harald Tschira,$3.2 B,48,Germany,Software,
937,905,Udo Tschira,$3.2 B,53,Germany,Software,
938,905,Vincent Viola,$3.2 B,67,United States,Electronic trading,
939,905,Wu Shaoxun,$3.2 B,67,China,Wine,
940,905,Steve Wynn,$3.2 B,81,United States,"Casinos, hotels",
941,905,Jon Yarbrough,$3.2 B,65,United States,Video games,
942,905,Zhou Bajin,$3.2 B,87,China,Auto parts,
943,949,Cho Tak Wong,$3.1 B,76,Hong Kong,Auto parts,
944,949,John Coates,$3.1 B,53,United Kingdom,Online gambling,
945,949,Ryan Cohen,$3.1 B,37,Canada,Investments,
946,949,Deng Wen,$3.1 B,55,China,Flavorings,
947,949,Gurbachan Singh Dhingra,$3.1 B,72,India,Paints,
948,949,Kuldip Singh Dhingra,$3.1 B,75,India,Paints,
949,949,Martin Ebner,$3.1 B,77,Switzerland,Investments,
950,949,Charles Edelstenne,$3.1 B,85,France,Aviation,
951,949,Sergei Gordeev,$3.1 B,50,Russia,Real estate,
952,949,Jeff T. Green,$3.1 B,46,United States,Digital advertising,
953,949,Reed Hastings,$3.1 B,62,United States,Netflix,
954,949,Bertil Hult,$3.1 B,82,Sweden,Education,
955,949,Miguel Krigsner,$3.1 B,73,Brazil,Cosmetics,
956,949,Kuok Khoon Hong,$3.1 B,73,Singapore,Palm oil,
957,949,Aerin Lauder,$3.1 B,52,United States,Estee Lauder,
958,949,Sheldon Lavin,$3.1 B,90,United States,Meat processing,
959,949,Yin Yee Lee,$3.1 B,71,China,Glass,
960,949,Vladimir Litvinenko & family,$3.1 B,67,Russia,Chemical industry,
961,949,Daniel Mate,$3.1 B,59,Spain,"Mining, commodities",
962,949,Ravi Modi,$3.1 B,46,India,Readymade garments,
963,949,Farhad Moshiri,$3.1 B,67,United Kingdom,Diversified,
964,949,Jonathan Nelson,$3.1 B,66,United States,Private equity,
965,949,Or Wai Sheun,$3.1 B,71,Hong Kong,Real estate,
966,949,Katharina Otto-Bernstein,$3.1 B,59,Germany,Real estate,
967,949,Sergei Popov,$3.1 B,51,Russia,Banking,
968,949,Penny Pritzker,$3.1 B,63,United States,"Hotels, investments",
969,949,Theodore Rachmat,$3.1 B,79,Indonesia,Diversified,
970,949,Renzo Rosso & family,$3.1 B,67,Italy,Fashion,
971,949,Friede Springer,$3.1 B,80,Germany,Publishing,
972,949,Rita Tong Liu,$3.1 B,74,Hong Kong,Real estate,
973,949,Timur Turlov,$3.1 B,35,Kazakhstan,Stock brokerage,
974,949,Frank VanderSloot,$3.1 B,74,United States,"Nutrition, wellness products",
975,949,Yoo Jung-hyun,$3.1 B,53,South Korea,Online games,
976,982,Abdulla bin Ahmad Al Ghurair & family,$3 B,N/A,United Arab Emirates,Diversified,
977,982,Semahat Sevim Arsel,$3 B,94,Turkey,Diversified,
978,982,Nicolas Berggruen,$3 B,61,United States,"Real estate, investments",
979,982,George Bishop,$3 B,85,United States,Oil & gas,
980,982,Norman Braman,$3 B,90,United States,"Art, car dealerships",
981,982,Eva Maria Bucher-Haefner,$3 B,66,Switzerland,"Software, investments",
982,982,Cai Dongchen,$3 B,70,China,Pharmaceuticals,
983,982,Jean-Pierre Cayard,$3 B,80,France,Spirits,
984,982,Chan Tan Ching-fen,$3 B,N/A,Hong Kong,Real estate,
985,982,Todd Christopher,$3 B,60,United States,Hair care products,
986,982,Mang Yee Chu & family,$3 B,63,China,Real estate,
987,982,"William Conway, Jr.",$3 B,73,United States,Private equity,
988,982,Jean Coutu & family,$3 B,95,Canada,Drugstores,
989,982,Catheline Perier D'Ieteren,$3 B,78,Belgium,"Auto parts, distribution",
990,982,"Edward DeBartolo, Jr.",$3 B,76,United States,Shopping centers,
991,982,Stephen Deckoff,$3 B,57,United States,Private equity,
992,982,Feng Hailiang,$3 B,62,China,"Copper, education",
993,982,"Ernest Garcia, II.",$3 B,65,United States,Used cars,
994,982,Sam Goi,$3 B,76,Singapore,Frozen foods,
995,982,Susan Carol Holland,$3 B,66,Italy,Hearing aids,
996,982,Hui Ka Yan,$3 B,64,China,Real estate,
997,982,Vivek Jain,$3 B,67,India,Chemicals,
998,982,Friedrich Knapp,$3 B,71,Germany,Fashion retail,
999,982,Egor Kulkov,$3 B,51,Russia,Pharmaceuticals,
1000,982,Lin Ming-hsiung,$3 B,73,Taiwan,Supermarkets,
1001,982,Lin Xiucheng & family,$3 B,67,China,Electronics,
1002,982,Harsh Mariwala,$3 B,71,India,Consumer goods,
1003,982,Gilles Martin,$3 B,59,France,Laboratory services,
1004,982,Maja Oeri,$3 B,68,Switzerland,Pharmaceuticals,
1005,982,John Paulson,$3 B,67,United States,Hedge funds,
1006,982,Ajay Piramal,$3 B,67,India,Pharmaceuticals,
1007,982,Guanghe Qiu & family,$3 B,71,China,Fashion retail,
1008,982,Stephen Rubin,$3 B,86,United Kingdom,Sports apparel,
1009,982,Robert Sands,$3 B,64,United States,Liquor,
1010,982,Erik Selin,$3 B,55,Sweden,Real estate,
1011,982,Yonghong Shi & family,$3 B,54,China,Restaurants,
1012,982,Martua Sitorus,$3 B,63,Indonesia,Palm oil,
1013,982,Guangxin Sun,$3 B,60,China,Diversified,
1014,982,Sukanto Tanoto,$3 B,73,Indonesia,Diversified,
1015,982,Sunny Varkey,$3 B,65,India,Education,
1016,982,Gang Ye,$3 B,42,Singapore,Gaming,
1017,982,Ye Xiaoping,$3 B,60,China,Pharmaceuticals,
1018,982,Lei Zhang,$3 B,50,China,Investments,
1019,982,Zhu Gongshan & family,$3 B,65,China,Solar panel materials,
1020,1027,Isak Andic & family,$2.9 B,69,Spain,Fashion retail,
1021,1027,Alberto Bombassei,$2.9 B,82,Italy,Automotive brakes,
1022,1027,Cao Longxiang & family,$2.9 B,65,China,Pharmaceuticals,
1023,1027,"Roy Carroll, II.",$2.9 B,60,United States,Real estate,
1024,1027,John Caudwell,$2.9 B,70,United Kingdom,Mobile phones,
1025,1027,James Clark,$2.9 B,79,United States,"Netscape, investments",
1026,1027,Jacques D'Amours,$2.9 B,66,Canada,Convenience stores,
1027,1027,John Paul DeJoria,$2.9 B,78,United States,"Hair products, tequila",
1028,1027,Bernard Ecclestone & family,$2.9 B,92,United Kingdom,Formula One,
1029,1027,Michael Federmann & family,$2.9 B,79,Israel,"Defense, hotels",
1030,1027,Kenneth Feld & family,$2.9 B,74,United States,Live entertainment,
1031,1027,Gu Yuhua & family,$2.9 B,73,China,Furniture,
1032,1027,Otto Happel,$2.9 B,75,Germany,Engineering,
1033,1027,Gudrun Heine,$2.9 B,68,Germany,Medical devices,
1034,1027,Donald Horton & family,$2.9 B,73,United States,Homebuilding,
1035,1027,Zarakh Iliev,$2.9 B,56,Russia,Real estate,
1036,1027,Ipek Kirac,$2.9 B,38,Turkey,Diversified,
1037,1027,Lee Seo-hyun,$2.9 B,49,South Korea,Samsung,
1038,1027,Li Jianquan & family,$2.9 B,66,Hong Kong,Consumer products,
1039,1027,Li Li,$2.9 B,57,China,Healthcare,
1040,1027,Li Xiaohua & family,$2.9 B,61,China,Packaging,
1041,1027,Liu Xiaodong,$2.9 B,55,China,Flavorings,
1042,1027,Martin Lorentzon,$2.9 B,54,Sweden,Spotify,
1043,1027,Ronald McAulay,$2.9 B,87,Hong Kong,Energy,
1044,1027,Erwin Franz Mueller,$2.9 B,90,Germany,Drugstores,
1045,1027,Georg Nemetschek & family,$2.9 B,89,Germany,Software,
1046,1027,God Nisanov,$2.9 B,50,Russia,Real estate,
1047,1027,Vikas Oberoi,$2.9 B,52,India,Real estate,
1048,1027,Gregorio Perez Companc & family,$2.9 B,87,Argentina,Oil & gas,
1049,1027,Sebastian Piñera & family,$2.9 B,73,Chile,Investments,
1050,1027,Arvind Poddar,$2.9 B,65,India,Tires,
1051,1027,Alexey Repik,$2.9 B,43,Russia,Pharmaceuticals,
1052,1027,Haim Saban,$2.9 B,78,United States,"TV network, investments",
1053,1027,Rodney Sacks,$2.9 B,73,United States,Energy drinks,
1054,1027,Karthik Sarma,$2.9 B,48,India,Hedge fund,
1055,1027,Sybill Storz,$2.9 B,85,Germany,Medical devices,
1056,1027,Daniel Sundheim,$2.9 B,46,United States,Hedge funds,
1057,1027,"William Wrigley, Jr.",$2.9 B,59,United States,Chewing gum,
1058,1027,Zhang Wenzhong,$2.9 B,61,China,Supermarkets,
1059,1027,Zhou Jianping,$2.9 B,62,China,Fashion retail,
1060,1067,Joy Alukkas,$2.8 B,66,India,Jewelry,
1061,1067,Kang An,$2.8 B,74,China,Pharmaceuticals,
1062,1067,Garrett Camp,$2.8 B,44,Canada,Uber,
1063,1067,Chen Lip Keong,$2.8 B,75,Malaysia,"Casinos, property, energy",
1064,1067,Choo Chong Ngen,$2.8 B,69,Singapore,Hotels,
1065,1067,Euisun Chung,$2.8 B,52,South Korea,Hyundai,
1066,1067,Smita Crishna-Godrej,$2.8 B,72,India,Consumer goods,
1067,1067,Eleanor Butt Crook & family,$2.8 B,90,United States,Supermarkets,
1068,1067,Du Jiangtao & family,$2.8 B,53,China,Chemicals,
1069,1067,Lorenzo Fertitta,$2.8 B,54,United States,"Casinos, mixed martial arts",
1070,1067,Sebastian Glaser,$2.8 B,N/A,Germany,Sensor technology,
1071,1067,Adi Godrej,$2.8 B,81,India,Consumer goods,
1072,1067,Jamshyd Godrej,$2.8 B,74,India,Diversified,
1073,1067,Lee Yeow Chor,$2.8 B,56,Malaysia,"Palm oil, property",
1074,1067,Li Weiguo,$2.8 B,58,China,Construction materials,
1075,1067,Dmitry Mazepin,$2.8 B,54,Russia,Chemicals,
1076,1067,"Drayton McLane, Jr.",$2.8 B,86,United States,"Walmart, logistics",
1077,1067,Najib Mikati,$2.8 B,67,Lebanon,Telecom,
1078,1067,Taha Mikati,$2.8 B,78,Lebanon,Telecom,
1079,1067,Akira Mori & family,$2.8 B,86,Japan,Real estate,
1080,1067,Rishad Naoroji,$2.8 B,71,India,Consumer goods,
1081,1067,Philip Niarchos,$2.8 B,69,Greece,Art collection,
1082,1067,Nandan Nilekani,$2.8 B,67,India,Software services,
1083,1067,Benjamin Otto,$2.8 B,N/A,Germany,Retail,
1084,1067,Maren Otto,$2.8 B,N/A,Germany,"Retail, real estate",
1085,1067,Ranjan Pai,$2.8 B,50,India,Education,
1086,1067,Madhukar Parekh,$2.8 B,76,India,Adhesives,
1087,1067,Sean Parker,$2.8 B,43,United States,Facebook,
1088,1067,Stewart Rahr,$2.8 B,77,United States,Drug distribution,
1089,1067,Su Hua,$2.8 B,41,China,Video streaming,
1090,1067,Sun Shoukuan,$2.8 B,73,China,"Metals, coal",
1091,1067,Tseng Cheng,$2.8 B,61,Taiwan,Petrochemicals,
1092,1067,Tung Chee Hwa,$2.8 B,85,Hong Kong,Shipping,
1093,1067,Meg Whitman,$2.8 B,66,United States,EBay,
1094,1067,Wong Luen Hei,$2.8 B,61,China,Building materials,
1095,1067,Chenghai Ye & family,$2.8 B,79,Hong Kong,Pharmaceuticals,
1096,1067,Zhu Xingming,$2.8 B,56,China,Electrical equipment,
1097,1104,Jose Joao Abdalla Filho,$2.7 B,77,Brazil,Investments,
1098,1104,Juan Abello,$2.7 B,81,Spain,Investments,
1099,1104,Suhail Bahwan,$2.7 B,84,Oman,Diversified,
1100,1104,Madhur Bajaj,$2.7 B,70,India,Diversified,
1101,1104,Niraj Bajaj,$2.7 B,68,India,Diversified,
1102,1104,Shekhar Bajaj,$2.7 B,74,India,Diversified,
1103,1104,Harindarpal Banga,$2.7 B,72,India,Commodities,
1104,1104,Ulrike Baro,$2.7 B,N/A,Germany,Biopharmaceuticals,
1105,1104,Anne Beaufour,$2.7 B,59,France,Pharmaceuticals,
1106,1104,Henri Beaufour,$2.7 B,57,France,Pharmaceuticals,
1107,1104,Andrei Bokarev,$2.7 B,56,Russia,"Metals, mining",
1108,1104,Jack Cowin,$2.7 B,80,Australia,Fast food,
1109,1104,Glenn Dubin,$2.7 B,65,United States,Hedge funds,
1110,1104,N. Murray Edwards,$2.7 B,63,Canada,Oil & gas,
1111,1104,"Frank Fertitta, III.",$2.7 B,61,United States,"Casinos, mixed martial arts",
1112,1104,Abhay Firodia,$2.7 B,78,India,Automobiles,
1113,1104,Bruce Flatt,$2.7 B,57,Canada,Money management,
1114,1104,Miguel Fluxa Rossello,$2.7 B,84,Spain,Hotels,
1115,1104,Robert Friedland,$2.7 B,72,United States,Mining,
1116,1104,Alexander Frolov,$2.7 B,58,Russia,"Mining, steel",
1117,1104,Nadir Godrej,$2.7 B,72,India,Consumer goods,
1118,1104,Maggie Hardy,$2.7 B,57,United States,Building materials,
1119,1104,Nithin Kamath,$2.7 B,43,India,Financial services,
1120,1104,Samvel Karapetyan,$2.7 B,57,Russia,Real estate,
1121,1104,Kei Hoi Pang,$2.7 B,57,China,Real estate,
1122,1104,Mustafa Rahmi Koc,$2.7 B,92,Turkey,Diversified,
1123,1104,Yuri Kovalchuk & family,$2.7 B,71,Russia,"Banking, insurance, media",
1124,1104,Geoffrey Kwok,$2.7 B,37,Hong Kong,Real estate,
1125,1104,Jonathan Kwok,$2.7 B,31,Hong Kong,Real Estate,
1126,1104,Hans Langer,$2.7 B,71,Germany,3D printing,
1127,1104,Frank Laukien,$2.7 B,63,United States,Scientific equipment,
1128,1104,Maritsa Lazari & family,$2.7 B,78,United Kingdom,Real estate,
1129,1104,Angela Leong,$2.7 B,62,Hong Kong,Casinos,
1130,1104,Li Zhongchu,$2.7 B,59,China,Software,
1131,1104,Liang Yunchao,$2.7 B,54,China,Nutritional supplements,
1132,1104,Vincent McMahon,$2.7 B,77,United States,Entertainment,
1133,1104,Patrice Motsepe,$2.7 B,61,South Africa,Mining,
1134,1104,Denis O'Brien,$2.7 B,64,Ireland,Telecom,
1135,1104,Timm Oberwelland,$2.7 B,N/A,Germany,Candy,
1136,1104,Dan Olsson,$2.7 B,76,Sweden,Diversified,
1137,1104,Yuji Otsuka,$2.7 B,69,Japan,"Copy machines, software",
1138,1104,Pan Dong,$2.7 B,58,Canada,Consumer goods,
1139,1104,Karsanbhai Patel,$2.7 B,79,India,Consumer goods,
1140,1104,Richard Peery,$2.7 B,84,United States,Real estate,
1141,1104,Gianfelice Rocca,$2.7 B,75,Italy,Pipe Manufacturing,
1142,1104,Paolo Rocca,$2.7 B,70,Italy,Pipe Manufacturing,
1143,1104,Wayne Rothbaum,$2.7 B,55,United States,Biotech investing,
1144,1104,Jeff Rothschild,$2.7 B,68,United States,Facebook,
1145,1104,Raj Sardana,$2.7 B,63,United States,Technology services,
1146,1104,Christiane Schoeller,$2.7 B,N/A,Germany,Publishing,
1147,1104,Salil Singhal,$2.7 B,75,India,Agrochemicals,
1148,1104,Alexander Skorobogatko,$2.7 B,55,Russia,"Real estate, airport",
1149,1104,Evan Spiegel,$2.7 B,32,United States,Snapchat,
1150,1104,Glen Taylor,$2.7 B,81,United States,Printing,
1151,1104,Thomas Tull,$2.7 B,52,United States,"Movies, investments",
1152,1104,Bulat Utemuratov,$2.7 B,65,Kazakhstan,"Mining, banking, hotels",
1153,1104,Gustav Magnar Witzoe,$2.7 B,29,Norway,Fish farming,
1154,1104,Wong Man Li,$2.7 B,58,Hong Kong,Furniture,
1155,1104,Guangming Wu,$2.7 B,61,China,Medical equipment,
1156,1104,Zhu Yi,$2.7 B,59,China,Pharmaceuticals,
1157,1164,Ben Ashkenazy,$2.6 B,53,United States,Real estate,
1158,1164,Felix Baker,$2.6 B,54,United States,Biotech investing,
1159,1164,Julian Baker,$2.6 B,56,United States,Investing,
1160,1164,David Baszucki,$2.6 B,60,United States,Online games,
1161,1164,Joesley Batista,$2.6 B,51,Brazil,Beef processing,
1162,1164,Wesley Batista,$2.6 B,50,Brazil,Beef packing,
1163,1164,Yvonne Bauer,$2.6 B,46,Germany,"Magazines, media",
1164,1164,Miriam Baumann-Blocher,$2.6 B,48,Switzerland,Chemicals,
1165,1164,Cen Junda,$2.6 B,58,China,Pharmaceuticals,
1166,1164,Richard Chandler,$2.6 B,64,New Zealand,Investments,
1167,1164,Chen Zhiping,$2.6 B,47,China,E-cigarettes,
1168,1164,Fernando Chico Pardo,$2.6 B,71,Mexico,Airport management,
1169,1164,Ray Davis,$2.6 B,81,United States,Pipelines,
1170,1164,Maria Del Pino,$2.6 B,67,Spain,Construction,
1171,1164,Deng Weiming & family,$2.6 B,54,China,Battery components,
1172,1164,"John Dorrance, III.",$2.6 B,79,Ireland,Campbell Soup,
1173,1164,Carl Douglas,$2.6 B,61,Sweden,Investments,
1174,1164,Eric Douglas,$2.6 B,54,Sweden,Investments,
1175,1164,Fiona Geminder,$2.6 B,58,Australia,Manufacturing,
1176,1164,Stewart Horejsi & family,$2.6 B,85,United States,Berkshire Hathaway,
1177,1164,Hou Juncheng,$2.6 B,58,China,Cosmetics,
1178,1164,Zhenda Huang & family,$2.6 B,75,China,Construction,
1179,1164,Dmitry Kamenshchik,$2.6 B,54,Russia,Airport,
1180,1164,Alicia Koplowitz,$2.6 B,69,Spain,"Construction, investments",
1181,1164,Adam Kwok,$2.6 B,40,Hong Kong,Real estate,
1182,1164,Henry Laufer,$2.6 B,77,United States,Hedge funds,
1183,1164,Louis Le Duff,$2.6 B,76,France,Bakeries,
1184,1164,Mark Leonard & family,$2.6 B,66,Canada,Software,
1185,1164,Li Guoqiang,$2.6 B,59,China,Auto dealerships,
1186,1164,Li Yongxin,$2.6 B,47,China,Education,
1187,1164,Peter Lim,$2.6 B,69,Singapore,Investments,
1188,1164,Lu Weiding,$2.6 B,52,China,Diversified,
1189,1164,Sergio Mantegazza,$2.6 B,95,Switzerland,Travel,
1190,1164,Hans Melchers,$2.6 B,84,Netherlands,"Chemicals, investments",
1191,1164,C. Dean Metropoulos,$2.6 B,76,United States,Investments,
1192,1164,Hans Georg Naeder,$2.6 B,61,Germany,Prosthetics,
1193,1164,Falguni Nayar,$2.6 B,60,India,Retailing,
1194,1164,Alexander Ponomarenko,$2.6 B,58,Russia,"Real estate, airport",
1195,1164,Nicholas Pritzker,$2.6 B,79,United States,"Hotels, investments",
1196,1164,Alejandro Santo Domingo,$2.6 B,46,United States,Beer,
1197,1164,Steven Sarowitz,$2.6 B,57,United States,Payroll software,
1198,1164,Maria-Elisabeth Schaeffler-Thumann,$2.6 B,81,Germany,Auto parts,
1199,1164,Leonard Schleifer,$2.6 B,70,United States,Pharmaceuticals,
1200,1164,Dieter Schnabel,$2.6 B,77,Germany,Chemicals,
1201,1164,Michael S. Smith,$2.6 B,67,United States,Liquefied natural gas,
1202,1164,Julia Thiele-Schuerhoff,$2.6 B,51,Germany,"Brakes, investments",
1203,1164,John Tyson & family,$2.6 B,69,United States,Food processing,
1204,1164,Anna Katharina Viessmann,$2.6 B,N/A,Germany,Heating and cooling equipment,
1205,1164,Jurgen Wirtgen,$2.6 B,57,Germany,Construction Vehicles,
1206,1164,Stefan Wirtgen,$2.6 B,52,Germany,Construction Vehicles,
1207,1164,Zhao Lixin,$2.6 B,57,China,Electronics,
1208,1164,Hongyi Zhou,$2.6 B,52,China,Security software,
1209,1217,S. Daniel Abraham,$2.5 B,98,United States,Slim-Fast,
1210,1217,Bill Alfond,$2.5 B,74,United States,Shoes,
1211,1217,Susan Alfond,$2.5 B,77,United States,Shoes,
1212,1217,Ted Alfond,$2.5 B,78,United States,Shoes,
1213,1217,Riley Bechtel & family,$2.5 B,71,United States,"Engineering, construction",
1214,1217,Thor Bjorgolfsson,$2.5 B,56,Iceland,Investments,
1215,1217,Charles Bronfman,$2.5 B,91,Canada,Liquor,
1216,1217,Vivek Chand Burman,$2.5 B,85,India,Consumer goods,
1217,1217,Herb Chambers,$2.5 B,81,United States,Car dealerships,
1218,1217,Cheng Yixiao,$2.5 B,39,China,Video streaming app,
1219,1217,Andrew Cherng,$2.5 B,75,United States,Fast food,
1220,1217,Peggy Cherng,$2.5 B,75,United States,Fast food,
1221,1217,Leon G. Cooperman,$2.5 B,79,United States,Hedge funds,
1222,1217,Yadu Hari Dalmia & family,$2.5 B,75,India,Cement,
1223,1217,Henry Davis,$2.5 B,72,United States,Beef processing,
1224,1217,Oleg Deripaska,$2.5 B,55,Russia,"Aluminum, utilities",
1225,1217,Sergey Dmitriev,$2.5 B,57,Cyprus,Software,
1226,1217,Joseph Edelman,$2.5 B,67,United States,Hedge funds,
1227,1217,Sandeep Engineer,$2.5 B,61,India,Plastic pipes,
1228,1217,Alceu Elias Feldmann & family,$2.5 B,73,Brazil,Fertilizer,
1229,1217,Serge Godin,$2.5 B,73,Canada,Information technology,
1230,1217,Alec Gores,$2.5 B,70,United States,Private equity,
1231,1217,Bill Haslam,$2.5 B,64,United States,Gas stations,
